User Photo,User Name,Rank,Time,text,sentiment
https://lh3.googleusercontent.com/a-/ALV-UjVmrXGKz5N8RQhSnRljdqFegeTCgjE5kqrsY1uuFwMUrgpD_sQ=w36-h36-p-rp-mo-ba4-br100,Sheila Ruiz,Local Guide · 57 reviews · 11 photos,5 years ago,"Very disrespectful staff, the food is just like a Burger King",1
https://lh3.googleusercontent.com/a/ACg8ocKaDeQdPgLCUiGZHVfzS6ZxgD0tf5XCRx8b795M-ywDaBfMpA=w36-h36-p-rp-mo-ba3-br100,Валери Толстых,Local Guide · 64 reviews · 7 photos,5 years ago,Anyone who hasn't tried their burgers is a fool.,1
https://lh3.googleusercontent.com/a/ACg8ocLjrQqZEKFeb3WtNzXp8JMy049yfptZGDvwPRV2YpkVB3hNUQ=w36-h36-p-rp-mo-br100,Ivan Lanas,22 reviews · 8 photos,4 years ago,"Nothing special, neither the meat nor the potatoes nor the service",2
https://lh3.googleusercontent.com/a/ACg8ocK0G0bQAXsK7sPyV8fHUVqUH2NQEV18Jt3rX6Mzup6XnfY_Fw=w36-h36-p-rp-mo-br100,emilien temps,1 review,4 years ago,"Rude staff, not pleasant. Definitely don't go there",1
https://lh3.googleusercontent.com/a/ACg8ocKBWsC6RTlYQZzBlTbzxEkplAPs1_GfWEsbudEd3ECVsFjnSg=w36-h36-p-rp-mo-br100,Anthony Jung,5 reviews,6 years ago,Too good hamburger on the terrible menu,1
https://lh3.googleusercontent.com/a/ACg8ocIbONUGDq7ZRcdGlYpjyejfkpgdaKkygk8c5A1CJcESiftE5g=w36-h36-p-rp-mo-br100,Hong Goo Lee,6 reviews · 16 photos,5 years ago,It comes out too slowly and the taste is not as good as expected;; definitely not.,2
https://lh3.googleusercontent.com/a-/ALV-UjXMCLZJF6Nlj33_3Xmkzbs177OXFevgh6YwLoft7Zq1AKL_Ff2z=w36-h36-p-rp-mo-ba4-br100,Janay Vela,Local Guide · 52 reviews · 148 photos,3 years ago,"The place lacks cleanliness, the bathroom leaves a lot to be desired,",2
https://lh3.googleusercontent.com/a-/ALV-UjUzRvTeNO3lTYWis1CRcYSMkmSl_zUqNdUm0YnDY9OII9vtbd_-=w36-h36-p-rp-mo-ba5-br100,Tania Del Villar,Local Guide · 427 reviews · 171 photos,2 years ago,It doesn't have milkshakes...,2
https://lh3.googleusercontent.com/a-/ALV-UjVLLIKkS6BnsKzJU9rfmJdYWEuhiftVjxi55JpZXXOldds_2jSV=w36-h36-p-rp-mo-ba2-br100,Davide,Local Guide · 16 reviews · 20 photos,4 years ago,A really shabby and dirty place,2
https://lh3.googleusercontent.com/a/ACg8ocKfmU4414YhJRbViUZ2i54dKnwdDggLVjAi1kjSlR5mr-mABg=w36-h36-p-rp-mo-br100,Jarmo Herranen,1 review · 1 photo,a year ago,Messy chaos,1
https://lh3.googleusercontent.com/a/ACg8ocKuyuMRaljBJx_qhsLrQtbv8bviu13X3VEKVMICEXFvD8DVGA=w36-h36-p-rp-mo-ba3-br100,Woosol kim,Local Guide · 51 reviews · 9 photos,6 years ago,Too greasy for Koreans.,2
https://lh3.googleusercontent.com/a-/ALV-UjUtces13X_gGpI2Yl0HhdA57HCNYIbQVR3K6dDKGgysWcgjdQVc=w36-h36-p-rp-mo-ba3-br100,Julio Menarios,Local Guide · 32 reviews · 8 photos,2 years ago,Very fast,2
https://lh3.googleusercontent.com/a/ACg8ocIhOH76KHaOr6xjt5v4MbLwijCCjcmfYfHKli1fetlp7O4zew=w36-h36-p-rp-mo-br100,김선영,101 reviews · 33 photos,5 months ago,just a hamburger,1
https://lh3.googleusercontent.com/a-/ALV-UjUHp3EGfWIJujJnXfxG82zwb0iSbHi7liA___RuS-Vp3nnzjYjk=w36-h36-p-rp-mo-ba5-br100,Bona K,Local Guide · 497 reviews · 167 photos,5 years ago,Shake Shack is much better,2
https://lh3.googleusercontent.com/a-/ALV-UjX1GruJ-QwwDPGPQBwvVXo9lyRBpothLOytadh6UluWrRUHhzziEQ=w36-h36-p-rp-mo-ba4-br100,krisel Jiménez,Local Guide · 49 reviews · 190 photos,a year ago,10-Oct,1
https://lh3.googleusercontent.com/a/ACg8ocJmxC3lEZPpAbXu99Ey3RyXxcWPxtTGtQl0R19xjTyaplgpxg=w36-h36-p-rp-mo-br100,Mario Garcia,9 reviews,5 years ago,Bugers,1
https://lh3.googleusercontent.com/a/ACg8ocLseX8G_TWY4sQ8_0jSoEH7NwGVfhUyUMoz2pB6wtEYmPYf8w=w36-h36-p-rp-mo-ba4-br100,Enilde Burian,Local Guide · 111 reviews · 76 photos,4 years ago,Disappointing,2
https://lh3.googleusercontent.com/a/ACg8ocKTgfjW0Eq5yP73IVkU7i1t8QgIODWKSUv44Dq_38Ja6a-emA=w36-h36-p-rp-mo-br100,eric bataille,77 reviews,4 years ago,Eat too much,2
